ingredient,ingredient_key,product_occurrences,egg,fish,milk,peanut,sesame,shellfish,soy,tree_nut,wheat,vegan,vegetarian,pescatarian,gluten_free,egg_safe_products,fish_safe_products,milk_safe_products,peanut_safe_products,sesame_safe_products,shellfish_safe_products,soy_safe_products,tree_nut_safe_products,wheat_safe_products,vegan_safe_products,vegetarian_safe_products,pescatarian_safe_products,gluten_free_safe_products,egg_violates_products,fish_violates_products,milk_violates_products,peanut_violates_products,sesame_violates_products,shellfish_violates_products,soy_violates_products,tree_nut_violates_products,wheat_violates_products,vegan_violates_products,vegetarian_violates_products,pescatarian_violates_products,gluten_free_violates_products
acidity regulator glucono-delta-lactone,acidity regulator glucono delta lactone,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,19,17,21,21,21,19,13,21,17,19,19,21,3,4,4,0,0,0,2,8,0,4,2,2,0
Acidity regulator: Citric acid (E330),acidity regulator citric acid,89,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,84,81,70,89,89,87,78,81,78,65,81,84,77,5,24,19,0,0,2,11,8,11,24,8,5,12
Acidity Regulator: Lactic Acid,acidity regulator lactic acid,60,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,56,48,43,60,59,60,56,49,35,45,48,48,35,4,15,17,0,1,0,4,11,25,15,12,12,25
"acidity regulators (330, 331, 296)",acidity regulators,192,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,177,149,143,190,187,182,126,167,121,112,149,160,122,15,80,49,2,5,10,66,25,71,80,43,32,70
acidity regulators: citric acid,acidity regulators citric acid,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,8,10,12,12,12,12,9,11,6,8,8,11,0,6,2,0,0,0,0,3,1,6,4,4,1
"Acids (Citric Acid, Malic Acid)",acids,99,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,94,81,91,97,96,99,90,88,76,73,81,81,76,5,26,8,2,3,0,9,11,23,26,18,18,23
"ACIDS FROM FERMENTATION (ACETIC LACTIC*, GLUCONIC, TARTARIC)",acids from fermentation,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Acids: Citric Acid,acids citric acid,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,8,12,12,12,12,9,10,12,8,8,8,10,0,4,0,0,0,0,3,2,0,4,4,4,2
Acids: Malic Acid,acids malic acid,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,8,9,9,9,9,8,9,6,7,8,8,6,0,2,0,0,0,0,1,0,3,2,1,1,3
Acidulant,acidulant,72,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,68,53,51,72,68,72,48,66,34,36,53,59,34,4,36,21,0,4,0,24,6,38,36,19,13,38
Acidulant: Citric Acid,acidulant citric acid,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,17,20,21,21,21,15,19,15,16,17,18,15,0,5,1,0,0,0,6,2,6,5,4,3,6
Activated Charcoal,activated charcoal,18,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,15,18,18,18,16,18,13,17,13,15,15,18,0,5,0,0,0,2,0,5,1,5,3,3,0
Active Cultures,active cultures,19,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,19,19,14,19,19,19,18,18,19,14,19,19,18,0,5,5,0,0,0,1,1,0,5,0,0,1
active dry yeast,active dry yeast,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,14,12,15,14,15,10,14,8,9,14,14,8,3,6,3,0,1,0,5,1,7,6,1,1,7
Active ingredients: acerola cherry juice powder (25% ascorbic acid),active ingredients acerola cherry juice powder,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Active Ingredients: Benzalkonium Chloride (0.13 %),active ingredients benzalkonium chloride,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Active Ingredients: In Each Tablet: Aspirin (325 mg) (NSAID) (Nonsteroidal Anti-Inflammatory Drug),active ingredients in each tablet aspirin,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adaptogen Root Blend (Ginger*, Turmeric*)",adaptogen root blend,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adaptogenic Mushroom Infusion (Reishi, Chaga, Turkey Tail)",adaptogenic mushroom infusion,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Added Color (Beta Carotene),added color,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,31,25,13,38,38,38,19,33,16,10,25,26,16,7,28,25,0,0,0,19,5,22,28,13,12,22
Adenosine-5 Triphosphate Disodium Salt (ATP),adenosine 5 triphosphate disodium salt,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipic Acid (E-356),adipic acid,371,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,342,177,347,371,370,371,315,359,334,136,177,177,334,29,235,24,0,1,0,56,12,37,235,194,194,37
agar,agar,1613,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,675,1417,541,1544,1563,1611,510,1317,597,395,1417,1425,599,938,1218,1072,69,50,2,1103,296,1016,1218,196,188,1014
agar gum,agar gum,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,35,27,38,36,38,18,36,28,26,35,35,28,10,12,11,0,2,0,20,2,10,12,3,3,10
Agar*. *Organic,agar organic,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,14,14,14,14,14,13,14,14,14,14,14,0,0,0,0,0,0,0,1,0,0,0,0,0
Agar-Agar,agar agar,450,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,251,398,200,445,442,450,173,373,185,169,398,436,189,199,281,250,5,8,0,277,77,265,281,52,14,261
Agave,agave,179,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,144,151,168,165,145,168,137,139,172,134,151,175,172,35,45,11,14,34,11,42,40,7,45,28,4,7
agave fiber,agave fiber,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,17,17,16,15,17,17,14,9,17,17,17,9,0,0,0,1,2,0,0,3,8,0,0,0,8
Agave Inulin,agave inulin,67,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,67,67,64,61,67,67,51,43,48,64,67,67,53,0,3,3,6,0,0,16,24,19,3,0,0,14
Agave Inulin Powder (Organic),agave inulin powder,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,21,21,21,21,21,21,21,19,21,21,21,19,0,0,0,0,0,0,0,0,2,0,0,0,2
AGAVE NECTAR,agave nectar,178,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,176,168,168,173,172,178,158,155,168,159,168,170,167,2,19,10,5,6,0,20,23,10,19,10,8,11
AGAVE SYRUP,agave syrup,460,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,404,450,399,424,430,460,335,350,397,361,450,451,397,56,99,61,36,30,0,125,110,63,99,10,9,63
Agave Wine,agave wine,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,11,10,11,11,11,11,11,0,0,0,0,0,0,0,1,0,0,0,0,0
"Aged Balsamic Vinegar¹ (Grape Must, Wine Vinegar)",aged balsamic vinegar,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Aged Cayenne Pepper,aged cayenne pepper,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,10,13,15,14,15,12,15,13,9,10,13,13,2,6,2,0,1,0,3,0,2,6,5,2,2
AGED CAYENNE PEPPERS,aged cayenne peppers,50,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,38,17,31,50,49,49,35,50,25,9,17,22,25,12,41,19,0,1,1,15,0,25,41,33,28,25
Aged Cayenne Red Pepper,aged cayenne red pepper,28,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,24,21,20,28,28,27,8,28,24,15,21,22,24,4,13,8,0,0,1,20,0,4,13,7,6,4
AGED CAYENNE RED PEPPERS,aged cayenne red peppers,63,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,53,37,36,63,63,63,44,60,41,26,37,40,40,10,37,27,0,0,0,19,3,22,37,26,23,23
Aged Garlic Extract Powder ( Bulb ),aged garlic extract powder,24,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,24,8,22,24,24,24,24,24,24,7,8,8,24,0,17,2,0,0,0,0,0,0,17,16,16,0
AGED PEPPERS,aged peppers,26,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,25,23,25,26,26,25,23,26,25,23,23,23,25,1,3,1,0,0,1,3,0,1,3,3,3,1
AGED RED CAYENNE PEPPERS,aged red cayenne peppers,66,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,65,64,48,66,66,66,58,66,65,48,64,65,63,1,18,18,0,0,0,8,0,1,18,2,1,3
Aged Red Habanero Peppers,aged red habanero peppers,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,12,14,15,15,15,14,15,15,11,12,13,14,0,4,1,0,0,0,1,0,0,4,3,2,1
Aged Red Peppers,aged red peppers,34,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,34,24,30,34,33,34,24,33,34,20,24,29,34,0,14,4,0,1,0,10,1,0,14,10,5,0
Agmatine Sulfate,agmatine sulfate,24,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,24,22,24,24,24,24,23,20,24,22,22,22,24,0,2,0,0,0,0,1,4,0,2,2,2,0
Ahiflower™ (Buglossoides arvensis) seed oil,ahiflower seed oil,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,6,7,7,7,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0
Ajowan,ajowan,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,6,7,7,7,7,7,7,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0
Alanine,alanine,139,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,135,37,92,128,135,137,129,115,134,31,37,39,135,4,108,47,11,4,2,10,24,5,108,102,100,4
ALC. 11.5% BY VOL,alc 11 5 by vol,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ALC. BY VOL,alc by vol,45,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,44,44,44,44,44,44,44,44,43,44,44,44,29,0,0,0,0,0,0,0,0,1,0,0,0,15
ALC./VOL. (80 PROOF),alc vol,128,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,126,126,119,126,126,126,126,124,124,119,126,126,83,0,7,7,0,0,0,0,2,2,7,0,0,43
ALCOHOL,alcohol,975,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,920,919,886,969,956,972,783,918,850,836,919,948,845,55,139,89,6,19,3,192,57,125,139,56,27,130
Alcohol Denat. (Natural),alcohol denat,24,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,24,22,24,24,24,24,24,20,23,18,22,22,23,0,6,0,0,0,0,0,4,1,6,2,2,1
Alcohol from Cane Sugar,alcohol from cane sugar,63,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol from Cold Fermented Cane Sugar,alcohol from cold fermented cane sugar,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol from Fermented Cane Sugar,alcohol from fermented cane sugar,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL FROM ORGANIC CANE SUGAR*,alcohol from organic cane sugar,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol from Real Cane Sugar,alcohol from real cane sugar,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol from Sugar,alcohol from sugar,92,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,92,92,92,92,92,92,92,88,92,92,92,92,92,0,0,0,0,0,0,0,4,0,0,0,0,0
Alcohol Natural Flavors,alcohol natural flavors,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vinegar (43%),alcohol vinegar,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,13,13,10,11,10,13,10,11,11,13,10,2,2,0,0,3,2,3,0,3,2,2,0,3
Alfalfa,alfalfa,72,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,72,57,66,72,71,70,59,70,48,51,57,58,65,0,21,6,0,1,2,13,2,24,21,15,14,7
alfalfa leaf,alfalfa leaf,26,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,26,20,26,26,26,26,26,24,18,20,20,20,25,0,6,0,0,0,0,0,2,8,6,6,6,1
Alfalfa Powder,alfalfa powder,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,7,11,11,11,11,10,9,6,7,7,7,11,0,4,0,0,0,0,1,2,5,4,4,4,0
Alfalfa Protein,alfalfa protein,23,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,23,23,23,19,23,23,23,22,23,23,23,23,23,0,0,0,4,0,0,0,1,0,0,0,0,0
Alfalfa Sprouts,alfalfa sprouts,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,11,10,11,10,11,8,11,7,10,11,11,8,1,1,1,0,1,0,3,0,4,1,0,0,3
Algae Oil,algae oil,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Algas Calcareas,algas calcareas,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,7,9,9,9,9,8,9,9,7,7,7,9,0,2,0,0,0,0,1,0,0,2,2,2,0
Algin,algin,54,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,44,42,19,53,42,54,25,46,8,12,42,42,8,10,42,35,1,12,0,29,8,46,42,12,12,46
Alginate,alginate,30,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,26,19,30,30,28,17,29,21,18,26,29,22,9,12,11,0,0,2,13,1,9,12,4,1,8
ALGINIC ACID,alginic acid,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,10,12,15,14,15,10,15,13,7,10,13,13,3,9,4,1,2,1,6,1,3,9,6,3,3
Alkalized Cocoa,alkalized cocoa,451,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,427,446,243,289,442,451,123,224,413,238,446,446,394,24,213,208,162,9,0,328,227,38,213,5,5,57
Alkalized Cocoa Powder,alkalized cocoa powder,198,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,159,186,94,177,197,198,133,108,156,88,186,187,156,39,110,104,21,1,0,65,90,42,110,12,11,42
All Flavors Contain: Sugar,all flavors contain sugar,22,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
All Natural,all natural,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,6,9,7,9,9,9,9,6,6,6,6,9,0,3,0,2,0,0,0,0,3,3,3,3,0
All Spice,all spice,41,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,38,17,38,39,41,19,38,17,13,38,39,16,24,28,24,3,2,0,22,3,24,28,3,2,25
All Varieties,all varieties,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Allantoin,allantoin,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,9,10,11,11,11,11,10,11,8,9,9,10,0,3,1,0,0,0,0,1,0,3,2,2,1
Allspice,allspice,545,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,465,496,473,538,538,545,463,479,436,405,496,507,431,80,140,72,7,7,0,82,66,109,140,49,38,114
Allspice Powder,allspice powder,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,7,10,10,10,10,10,10,10,7,7,10,10,0,3,0,0,0,0,0,0,0,3,3,0,0
ALLULOSE,allulose,1066,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,910,980,565,911,1050,1066,812,579,924,513,980,1007,923,156,553,501,155,16,0,254,487,142,553,86,59,143
Allulose Syrup,allulose syrup,51,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,48,50,36,40,48,51,35,38,47,35,50,51,47,3,16,15,11,3,0,16,13,4,16,1,0,4
allura red (FD & C red #40),allura red,116,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,110,76,84,112,116,116,71,104,77,47,76,76,78,6,69,32,4,0,0,45,12,39,69,40,40,38
Almonds,almonds,6685,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,5883,6369,4093,4693,6392,6682,3744,34,5553,3756,6369,6398,5449,802,2929,2592,1992,293,3,2941,6651,1132,2929,316,287,1236
Aloe,aloe,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,7,9,9,9,9,9,9,9,7,7,7,8,0,2,0,0,0,0,0,0,0,2,2,2,1
Aloe Barbadensis ( Aloe ) Leaf Extract,aloe barbadensis leaf extract,23,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,23,23,23,23,23,23,23,16,23,17,23,23,23,0,6,0,0,0,0,0,7,0,6,0,0,0
Aloe Barbadensis Leaf Juice*,aloe barbadensis leaf juice,33,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,33,32,31,33,33,33,33,30,32,29,32,32,31,0,4,2,0,0,0,0,3,1,4,1,1,2
Aloe Flavor,aloe flavor,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,7,8,8,8,8,8,7,8,7,7,7,8,0,1,0,0,0,0,0,1,0,1,1,1,0
Aloe Vera,aloe vera,62,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,62,54,61,61,62,62,61,50,59,53,54,54,61,0,9,1,1,0,0,1,12,3,9,8,8,1
Aloe Vera Extract (Aloe barbadensis) (leaf),aloe vera extract,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,7,8,8,8,8,8,6,8,7,7,7,8,0,1,0,0,0,0,0,2,0,1,1,1,0
Aloe Vera Gel,aloe vera gel,82,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,82,67,80,82,82,82,81,81,81,66,67,67,82,0,16,2,0,0,0,1,1,1,16,15,15,0
Aloe Vera Gel Powder,aloe vera gel powder,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,7,8,8,8,8,8,6,8,7,7,7,8,0,1,0,0,0,0,0,2,0,1,1,1,0
Aloe Vera Juice,aloe vera juice,64,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,64,56,64,64,64,64,62,60,62,55,56,59,64,0,9,0,0,0,0,2,4,2,9,8,5,0
Aloe Vera Juice and Pulp,aloe vera juice and pulp,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloe vera leaf,aloe vera leaf,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,8,10,10,10,9,9,10,9,7,8,8,9,0,3,0,0,0,1,1,0,1,3,2,2,1
Aloe Vera Leaf Extract (from 2.5 mg of 200:1 concentrate),aloe vera leaf extract,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,11,12,11,12,12,12,12,0,0,0,0,0,0,1,0,1,0,0,0,0
Aloe Vera Powder,aloe vera powder,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,12,15,15,15,15,15,15,13,12,12,12,15,0,3,0,0,0,0,0,0,2,3,3,3,0
Aloe Vera Pulp,aloe vera pulp,74,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,74,64,73,74,74,74,73,65,72,63,64,64,74,0,11,1,0,0,0,1,9,2,11,10,10,0
Alpha GPC,alpha gpc,52,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,52,50,52,52,52,52,52,46,51,49,50,50,52,0,3,0,0,0,0,0,6,1,3,2,2,0
Alpha GPC 50% (L-Alpha-glyceryl phosphorylcholine),alpha gpc 50,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,8,9,9,9,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0
Alpha Lipoic Acid,alpha lipoic acid,209,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,209,134,203,207,206,207,182,206,203,131,134,136,206,0,78,6,2,3,2,27,3,6,78,75,73,3
Alpha Tocopherol Acetate,alpha tocopherol acetate,288,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,260,170,210,262,288,288,214,125,188,87,170,173,184,28,201,78,26,0,0,74,163,100,201,118,115,104
Alpha Tocopheryl Acetate (Vitamin E),alpha tocopheryl acetate,241,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,240,236,176,239,240,241,168,99,224,176,236,239,224,1,65,65,2,1,0,73,142,17,65,5,2,17
Alpha-amylase,alpha amylase,35,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,32,30,24,35,32,35,27,34,18,21,30,30,21,3,14,11,0,3,0,8,1,17,14,5,5,14
Alpha-Galactosidase (Aspergillus niger - whole),alpha galactosidase,105,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,105,101,101,105,105,105,104,101,96,98,101,102,103,0,7,4,0,0,0,1,4,9,7,4,3,2
ALPHA-GLYCERYL PHOSPHORYL CHOLINE,alpha glyceryl phosphoryl choline,20,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,20,20,20,20,20,20,19,16,20,20,20,20,20,0,0,0,0,0,0,1,4,0,0,0,0,0
Alpha-Tocopherol,alpha tocopherol,90,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,19,83,15,88,89,88,11,81,13,11,83,85,12,71,79,75,2,1,2,79,9,77,79,7,5,78
AlphaSize,alphasize,18,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,14,18,18,18,18,18,18,18,14,14,14,18,0,4,0,0,0,0,0,0,0,4,4,4,0
AlphaSize Alpha GPC 50%,alphasize alpha gpc 50,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
AlphaSize Alpha-GPC (Alpha-Glyceryl Phosphoryl Choline 50%),alphasize alpha gpc,31,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,31,14,31,31,31,31,31,31,31,14,14,14,31,0,17,0,0,0,0,0,0,0,17,17,17,0
Alphonso Mango Puree,alphonso mango puree,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,7,9,9,9,9,9,0,0,0,0,0,0,0,2,0,0,0,0,0
ALUM,alum,364,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,356,361,361,364,364,364,354,364,361,355,361,362,360,8,9,3,0,0,0,10,0,3,9,3,2,4
Aluminum Sulfate,aluminum sulfate,180,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,175,13,164,156,180,10,126,10,12,175,175,10,163,168,167,16,24,0,170,54,170,168,5,5,170
Aluminum-free baking powder,aluminum free baking powder,124,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,56,123,70,122,122,124,99,78,68,47,123,123,67,68,77,54,2,2,0,25,46,56,77,1,1,57
amaranth,amaranth,265,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,263,264,251,229,231,265,146,201,212,250,264,264,219,2,15,14,36,34,0,119,64,53,15,1,1,46
Amaranth flour (rajgara flour),amaranth flour,59,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,52,59,53,59,50,59,53,48,43,47,59,59,43,7,12,6,0,9,0,6,11,16,12,0,0,16
Amaranth Seeds,amaranth seeds,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,36,38,33,38,6,38,12,36,34,31,38,38,34,2,7,5,0,32,0,26,2,4,7,0,0,4
AMERICAN GINSENG,american ginseng,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,11,14,14,14,14,13,14,10,10,11,11,12,0,4,0,0,0,0,1,0,4,4,3,3,2
American Ginseng Root,american ginseng root,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,14,15,15,15,15,15,13,14,14,14,14,15,0,1,0,0,0,0,0,2,1,1,1,1,0
